country,year,pop,continent,lifeExp,gdpPercap
Abaíra,2007,4,Chapada Diamantina,3,2900108
Abaré,2007,7,Itaparica,24,2900207
Acajutiba,2007,3,Litoral Norte e Agreste Baiano,18,2900306
Adustina,2007,4,Semiárido Nordeste II,17,2900355
Água Fria,2007,6,Portal do Sertão,19,2900405
Aiquara,2007,2,Médio Rio de Contas,22,2900603
Alagoinhas,2007,18,Litoral Norte e Agreste Baiano,18,2900702
Alcobaça,2007,9,Extremo Sul,7,2900801
Almadina,2007,2,Litoral Sul,5,2900900
Amargosa,2007,7,Vale do Jiquiriçá,9,2901007
Amélia Rodrigues,2007,6,Portal do Sertão,19,2901106
América Dourada,2007,5,Irecê,1,2901155
Anagé,2007,7,Sudoeste Baiano,20,2901205
Andaraí,2007,4,Chapada Diamantina,3,2901304
Andorinha,2007,5,Piemonte Norte do Itapicuru,25,2901353
Angical,2007,1,Bacia do Rio Grande,11,2901403
Anguera,2007,2,Portal do Sertão,19,2901502
Antas,2007,4,Semiárido Nordeste II,17,2901601
Antônio Cardoso,2007,3,Portal do Sertão,19,2901700
Antônio Gonçalves,2007,0,Piemonte Norte do Itapicuru,25,2901809
Aporá,2007,7,Litoral Norte e Agreste Baiano,18,2901908
Apuarema,2007,2,Médio Rio de Contas,22,2901957
Araçás,2007,0,Litoral Norte e Agreste Baiano,18,2902054
Aracatu,2007,5,Sudoeste Baiano,20,2902005
Araci,2007,8,Sisal,4,2902104
Aramari,2007,4,Litoral Norte e Agreste Baiano,18,2902203
Arataca,2007,4,Litoral Sul,5,2902252
Aratuípe,2007,4,Baixo Sul,6,2902302
Aurelino Leal,2007,4,Litoral Sul,5,2902401
Baianópolis,2007,4,Bacia do Rio Grande,11,2902500
Baixa Grande,2007,5,Bacia do Jacuípe,15,2902609
Banzaê,2007,6,Semiárido Nordeste II,17,2902658
Barra,2007,3,Velho Chico,2,2902708
Barra da Estiva,2007,6,Chapada Diamantina,3,2902807
Barra do Choça,2007,12,Sudoeste Baiano,20,2902906
Barra do Mendes,2007,0,Irecê,1,2903003
Barra do Rocha,2007,2,Médio Rio de Contas,22,2903102
Barreiras,2007,11,Bacia do Rio Grande,11,2903201
Barro Alto,2007,4,Irecê,1,2903235
Barro Preto,2007,3,Litoral Sul,5,2903300
Barrocas,2007,4,Sisal,4,2903276
Belmonte,2007,7,Costa do Descobrimento,27,2903409
Belo Campo,2007,6,Sudoeste Baiano,20,2903508
Biritinga,2007,5,Sisal,4,2903607
Boa Nova,2007,5,Médio Rio de Contas,22,2903706
