Código,Município,Código TI,Território de Identidade,População,QtMédicosSUS,QtMédicosNãoSUS,QtEnfermeirosSUS,QtEnfermeirosNãoSUS,QtProfissionais,Médicos,Enfermeiros,SUS,Não SUS,QtProfissionais/100000Hab,QtMédicos/100000Hab,QtEnfermeiros/100000Hab,QtSUS/100000Hab,QtNãoSUS/100000Hab
2900108,Abaíra,3,Chapada Diamantina,9199,8,0,6,0,14,8,6,14,0,152.1904554843,86.9659745625,65.2244809218,152.1904554843,0
2900207,Abaré,24,Itaparica,20189,12,0,16,0,28,12,16,28,0,138.6893853088,59.4383079895,79.2510773193,138.6893853088,0
2900306,Acajutiba,18,Litoral Norte e Agreste Baiano,15727,8,1,10,0,19,9,10,18,1,120.8113435493,57.2264258918,63.5849176575,114.4528517836,6.3584917658
2900355,Adustina,17,Semiárido Nordeste II,17349,8,0,9,0,17,8,9,17,0,97.9883566776,46.1121678483,51.8761888293,97.9883566776,0
2900405,Água Fria,19,Portal do Sertão,17508,6,0,15,0,21,6,15,21,0,119.9451679232,34.2700479781,85.6751199452,119.9451679232,0
2900504,Érico Cardoso,12,Bacia do Paramirim,11212,7,0,12,0,19,7,12,19,0,169.4612914734,62.4331073849,107.0281840885,169.4612914734,0
2900603,Aiquara,22,Médio Rio de Contas,4725,1,0,7,0,8,1,7,8,0,169.3121693122,21.164021164,148.1481481481,169.3121693122,0
2900702,Alagoinhas,18,Litoral Norte e Agreste Baiano,155979,147,133,134,27,441,280,161,281,160,282.7303675495,179.5113444759,103.2190230736,180.1524564204,102.5779111291
2900801,Alcobaça,7,Extremo Sul,23376,24,0,19,0,43,24,19,43,0,183.9493497604,102.6694045175,81.279945243,183.9493497604,0
2900900,Almadina,5,Litoral Sul,5985,8,0,7,0,15,8,7,15,0,250.626566416,133.6675020886,116.9590643275,250.626566416,0
2901007,Amargosa,9,Vale do Jiquiriçá,38259,25,10,33,0,68,35,33,58,10,177.7359575525,91.4817428579,86.2542146946,151.5983167359,26.1376408165
2901106,Amélia Rodrigues,19,Portal do Sertão,26409,14,1,14,0,29,15,14,28,1,109.8110492635,56.7988185846,53.0122306789,106.0244613579,3.7865879056
2901155,América Dourada,1,Irecê,16798,12,0,15,0,27,12,15,27,0,160.7334206453,71.4370758424,89.296344803,160.7334206453,0
2901205,Anagé,20,Sudoeste Baiano,19568,22,0,22,0,44,22,22,44,0,224.8569092396,112.4284546198,112.4284546198,224.8569092396,0
2901304,Andaraí,3,Chapada Diamantina,13737,11,0,7,0,18,11,7,18,0,131.0329766325,80.0757079421,50.9572686904,131.0329766325,0
2901353,Andorinha,25,Piemonte Norte do Itapicuru,15490,5,1,10,0,16,6,10,15,1,103.2924467398,38.7346675274,64.5577792124,96.8366688186,6.4557779212
2901403,Angical,11,Bacia do Rio Grande,14690,10,0,8,0,18,10,8,18,0,122.5323349217,68.073519401,54.4588155208,122.5323349217,0
2901502,Anguera,19,Portal do Sertão,11481,8,0,11,0,19,8,11,19,0,165.490810905,69.6803414337,95.8104694713,165.490810905,0
2901601,Antas,17,Semiárido Nordeste II,19569,18,0,17,0,35,18,17,35,0,178.8543103889,91.9822167714,86.8720936175,178.8543103889,0
2901700,Antônio Cardoso,19,Portal do Sertão,12208,4,0,12,0,16,4,12,16,0,131.0615989515,32.7653997379,98.2961992136,131.0615989515,0
2901809,Antônio Gonçalves,25,Piemonte Norte do Itapicuru,12072,8,0,10,0,18,8,10,18,0,149.1053677932,66.2690523526,82.8363154407,149.1053677932,0
2901908,Aporá,18,Litoral Norte e Agreste Baiano,18334,13,0,8,0,21,13,8,21,0,114.5412894077,70.9065124905,43.6347769172,114.5412894077,0
2901957,Apuarema,22,Médio Rio de Contas,7730,6,0,7,0,13,6,7,13,0,168.1759379043,77.6196636481,90.5562742561,168.1759379043,0
2902005,Aracatu,20,Sudoeste Baiano,13962,8,0,13,0,21,8,13,21,0,150.4082509669,57.2983813207,93.1098696462,150.4082509669,0
2902054,Araçás,18,Litoral Norte e Agreste Baiano,12608,8,0,14,0,22,8,14,22,0,174.4923857868,63.4517766497,111.0406091371,174.4923857868,0
2902104,Araci,4,Sisal,55935,21,2,35,0,58,23,35,56,2,103.6917851077,41.1191561634,62.5726289443,100.1162063109,3.5755787968
2902203,Aramari,18,Litoral Norte e Agreste Baiano,11703,1,0,6,0,7,1,6,7,0,59.813722977,8.5448175681,51.2689054089,59.813722977,0
2902252,Arataca,5,Litoral Sul,11661,3,0,10,0,13,3,10,13,0,111.4827201784,25.7267815796,85.7559385987,111.4827201784,0
2902302,Aratuípe,6,Baixo Sul,9171,3,0,9,0,12,3,9,12,0,130.8472358521,32.711808963,98.1354268891,130.8472358521,0
2902401,Aurelino Leal,5,Litoral Sul,12706,7,0,9,0,16,7,9,16,0,125.9247599559,55.0920824807,70.8326774752,125.9247599559,0
2902500,Baianópolis,11,Bacia do Rio Grande,14323,8,0,12,0,20,8,12,20,0,139.6355512113,55.8542204845,83.7813307268,139.6355512113,0
2902609,Baixa Grande,15,Bacia do Jacuípe,21403,13,0,11,0,24,13,11,24,0,112.1338130169,60.7391487175,51.3946642994,112.1338130169,0
2902658,Banzaê,17,Semiárido Nordeste II,13765,8,0,17,0,25,8,17,25,0,181.6200508536,58.1184162732,123.5016345805,181.6200508536,0
2902708,Barra,2,Velho Chico,54915,34,0,36,0,70,34,36,70,0,127.4697259401,61.9138668852,65.5558590549,127.4697259401,0
2902807,Barra da Estiva,3,Chapada Diamantina,22082,16,2,22,0,40,18,22,38,2,181.1430124083,81.5143555837,99.6286568246,172.0858617879,9.0571506204
2902906,Barra do Choça,20,Sudoeste Baiano,34121,25,1,22,0,48,26,22,47,1,140.6758301339,76.1994079892,64.4764221447,137.7450836728,2.9307464611
