Código,Município,Código TI,Território de Identidade,QtMédicosSUS,QtMédicosNãoSUS,QtEnfermeirosSUS,QtEnfermeirosNãoSUS,QtProfissionais
2900108,Abaíra,3,Chapada Diamantina,4,0,7,0,11
2900207,Abaré,24,Itaparica,9,0,19,0,28
2900306,Acajutiba,18,Litoral Norte e Agreste Baiano,9,2,12,0,23
2900355,Adustina,17,Semiárido Nordeste II,7,0,9,1,17
2900405,Água Fria,19,Portal do Sertão,8,0,15,0,23
2900504,Érico Cardoso,12,Bacia do Paramirim,6,0,13,0,19
2900603,Aiquara,22,Médio Rio de Contas,2,0,7,0,9
2900702,Alagoinhas,18,Litoral Norte e Agreste Baiano,171,121,179,24,495
2900801,Alcobaça,7,Extremo Sul,21,0,20,0,41
2900900,Almadina,5,Litoral Sul,5,0,5,0,10
2901007,Amargosa,9,Vale do Jiquiriçá,24,11,39,0,74
2901106,Amélia Rodrigues,19,Portal do Sertão,18,1,18,0,37
2901155,América Dourada,1,Irecê,15,0,20,0,35
2901205,Anagé,20,Sudoeste Baiano,16,0,22,0,38
2901304,Andaraí,3,Chapada Diamantina,11,0,9,0,20
2901353,Andorinha,25,Piemonte Norte do Itapicuru,4,3,10,0,17
2901403,Angical,11,Bacia do Rio Grande,5,0,12,0,17
2901502,Anguera,19,Portal do Sertão,5,0,13,0,18
2901601,Antas,17,Semiárido Nordeste II,13,0,20,0,33
2901700,Antônio Cardoso,19,Portal do Sertão,4,0,11,0,15
2901809,Antônio Gonçalves,25,Piemonte Norte do Itapicuru,3,0,10,0,13
2901908,Aporá,18,Litoral Norte e Agreste Baiano,9,0,6,0,15
2901957,Apuarema,22,Médio Rio de Contas,5,0,7,0,12
2902005,Aracatu,20,Sudoeste Baiano,11,0,16,0,27
2902054,Araçás,18,Litoral Norte e Agreste Baiano,9,0,6,0,15
2902104,Araci,4,Sisal,20,2,42,0,64
2902203,Aramari,18,Litoral Norte e Agreste Baiano,2,0,6,0,8
2902252,Arataca,5,Litoral Sul,5,0,10,0,15
2902302,Aratuípe,6,Baixo Sul,3,0,9,0,12
2902401,Aurelino Leal,5,Litoral Sul,8,0,10,0,18
2902500,Baianópolis,11,Bacia do Rio Grande,6,0,14,0,20
2902609,Baixa Grande,15,Bacia do Jacuípe,9,0,11,0,20
2902658,Banzaê,17,Semiárido Nordeste II,5,0,13,0,18
2902708,Barra,2,Velho Chico,28,0,40,0,68
2902807,Barra da Estiva,3,Chapada Diamantina,14,2,22,0,38
2902906,Barra do Choça,20,Sudoeste Baiano,24,1,21,0,46
2903003,Barra do Mendes,1,Irecê,4,0,17,0,21
2903102,Barra do Rocha,22,Médio Rio de Contas,1,0,4,0,5
2903201,Barreiras,11,Bacia do Rio Grande,201,84,266,5,556
2903235,Barro Alto,1,Irecê,6,0,7,0,13
2903276,Barrocas,4,Sisal,7,0,13,1,21
2903300,Barro Preto,5,Litoral Sul,5,0,7,0,12
2903409,Belmonte,27,Costa do Descobrimento,16,0,22,0,38
2903508,Belo Campo,20,Sudoeste Baiano,12,0,20,0,32
2903607,Biritinga,4,Sisal,9,0,16,0,25
2903706,Boa Nova,22,Médio Rio de Contas,4,0,10,0,14
2903805,Boa Vista do Tupim,14,Piemonte do Paraguaçu,11,0,11,0,22
2903904,Bom Jesus da Lapa,2,Velho Chico,63,8,80,0,151
2903953,Bom Jesus da Serra,20,Sudoeste Baiano,9,0,11,0,20
2904001,Boninal,3,Chapada Diamantina,3,0,7,0,10
2904050,Bonito,3,Chapada Diamantina,8,0,10,0,18
2904100,Boquira,12,Bacia do Paramirim,7,0,20,0,27
2904209,Botuporã,12,Bacia do Paramirim,7,0,11,0,18
2904308,Brejões,9,Vale do Jiquiriçá,5,0,7,0,12
2904407,Brejolândia,23,Bacia do Rio Corrente,2,0,7,0,9
