Código,Município,Código TI,Território de Identidade,QtMédicosSUS,QtMédicosNãoSUS,QtEnfermeirosSUS,QtEnfermeirosNãoSUS,QtProfissionais,QtMédicos,QtEnfermeiros,QtSUS,QtNãoSUS,LogQtMédicosSUS,LogQtMédicosNãoSUS,LogQtEnfermeirosSUS,LogQtEnfermeirosNãoSUS,LogQtProfissionais,LogQtMédicos,LogQtEnfermeiros,LogQtSUS,LogQtNãoSUS
2900108,Abaíra,3,Chapada Diamantina,4,0,7,0,11,4,7,11,0,"0,6020599913",-1,"0,84509804",-1,"1,0413926852","0,6020599913","0,84509804","1,0413926852",-1
2900207,Abaré,24,Itaparica,9,0,19,0,28,9,19,28,0,"0,9542425094",-1,"1,278753601",-1,"1,4471580313","0,9542425094","1,278753601","1,4471580313",-1
2900306,Acajutiba,18,Litoral Norte e Agreste Baiano,9,2,12,0,23,11,12,21,2,"0,9542425094","0,3010299957","1,079181246",-1,"1,361727836","1,0413926852","1,079181246","1,3222192947","0,3010299957"
2900355,Adustina,17,Semiárido Nordeste II,7,0,9,1,17,7,10,16,1,"0,84509804",-1,"0,9542425094",0,"1,2304489214","0,84509804",1,"1,2041199827",0
2900405,Água Fria,19,Portal do Sertão,8,0,15,0,23,8,15,23,0,"0,903089987",-1,"1,1760912591",-1,"1,361727836","0,903089987","1,1760912591","1,361727836",-1
2900504,Érico Cardoso,12,Bacia do Paramirim,6,0,13,0,19,6,13,19,0,"0,7781512504",-1,"1,1139433523",-1,"1,278753601","0,7781512504","1,1139433523","1,278753601",-1
2900603,Aiquara,22,Médio Rio de Contas,2,0,7,0,9,2,7,9,0,"0,3010299957",-1,"0,84509804",-1,"0,9542425094","0,3010299957","0,84509804","0,9542425094",-1
2900702,Alagoinhas,18,Litoral Norte e Agreste Baiano,171,121,179,24,495,292,203,350,145,"2,2329961104","2,0827853703","2,252853031","1,3802112417","2,6946051989","2,4653828514","2,3074960379","2,5440680444","2,1613680022"
2900801,Alcobaça,7,Extremo Sul,21,0,20,0,41,21,20,41,0,"1,3222192947",-1,"1,3010299957",-1,"1,6127838567","1,3222192947","1,3010299957","1,6127838567",-1
2900900,Almadina,5,Litoral Sul,5,0,5,0,10,5,5,10,0,"0,6989700043",-1,"0,6989700043",-1,1,"0,6989700043","0,6989700043",1,-1
2901007,Amargosa,9,Vale do Jiquiriçá,24,11,39,0,74,35,39,63,11,"1,3802112417","1,0413926852","1,591064607",-1,"1,8692317197","1,5440680444","1,591064607","1,7993405495","1,0413926852"
2901106,Amélia Rodrigues,19,Portal do Sertão,18,1,18,0,37,19,18,36,1,"1,2552725051",0,"1,2552725051",-1,"1,5682017241","1,278753601","1,2552725051","1,5563025008",0
2901155,América Dourada,1,Irecê,15,0,20,0,35,15,20,35,0,"1,1760912591",-1,"1,3010299957",-1,"1,5440680444","1,1760912591","1,3010299957","1,5440680444",-1
2901205,Anagé,20,Sudoeste Baiano,16,0,22,0,38,16,22,38,0,"1,2041199827",-1,"1,3424226808",-1,"1,5797835966","1,2041199827","1,3424226808","1,5797835966",-1
2901304,Andaraí,3,Chapada Diamantina,11,0,9,0,20,11,9,20,0,"1,0413926852",-1,"0,9542425094",-1,"1,3010299957","1,0413926852","0,9542425094","1,3010299957",-1
2901353,Andorinha,25,Piemonte Norte do Itapicuru,4,3,10,0,17,7,10,14,3,"0,6020599913","0,4771212547",1,-1,"1,2304489214","0,84509804",1,"1,1461280357","0,4771212547"
2901403,Angical,11,Bacia do Rio Grande,5,0,12,0,17,5,12,17,0,"0,6989700043",-1,"1,079181246",-1,"1,2304489214","0,6989700043","1,079181246","1,2304489214",-1
2901502,Anguera,19,Portal do Sertão,5,0,13,0,18,5,13,18,0,"0,6989700043",-1,"1,1139433523",-1,"1,2552725051","0,6989700043","1,1139433523","1,2552725051",-1
2901601,Antas,17,Semiárido Nordeste II,13,0,20,0,33,13,20,33,0,"1,1139433523",-1,"1,3010299957",-1,"1,5185139399","1,1139433523","1,3010299957","1,5185139399",-1
2901700,Antônio Cardoso,19,Portal do Sertão,4,0,11,0,15,4,11,15,0,"0,6020599913",-1,"1,0413926852",-1,"1,1760912591","0,6020599913","1,0413926852","1,1760912591",-1
2901809,Antônio Gonçalves,25,Piemonte Norte do Itapicuru,3,0,10,0,13,3,10,13,0,"0,4771212547",-1,1,-1,"1,1139433523","0,4771212547",1,"1,1139433523",-1
2901908,Aporá,18,Litoral Norte e Agreste Baiano,9,0,6,0,15,9,6,15,0,"0,9542425094",-1,"0,7781512504",-1,"1,1760912591","0,9542425094","0,7781512504","1,1760912591",-1
2901957,Apuarema,22,Médio Rio de Contas,5,0,7,0,12,5,7,12,0,"0,6989700043",-1,"0,84509804",-1,"1,079181246","0,6989700043","0,84509804","1,079181246",-1
2902005,Aracatu,20,Sudoeste Baiano,11,0,16,0,27,11,16,27,0,"1,0413926852",-1,"1,2041199827",-1,"1,4313637642","1,0413926852","1,2041199827","1,4313637642",-1
